;whoid;correspid;whoid_name;correspid_name
0;#org4;#per12;ángel;José
1;#org4;#per12;ángel;José
2;#org4;#per12;ángel;José
3;#org4;#per12;ángel;José
4;#org4;#org0;ángel;gente
5;#org4;#per58;ángel;María Magdalena
6;#org4;#per59;ángel;María
7;#org4;#per58;ángel;María Magdalena
8;#org4;#per59;ángel;María
9;#org4;#per58;ángel;María Magdalena
10;#org4;#per59;ángel;María
11;#org8;#pla1;profetas;Belén
12;#org10;#per10;reyes magos;Herodes
13;#org5;#per10;escribas;Herodes
14;#org5;#per10;escribas;Herodes
15;#org5;#per1;escribas;Jesús
16;#org5;#org5;escribas;escribas
17;#org5;#per1;escribas;Jesús
18;#org5;#per1;escribas;Jesús
19;#org5;#per1;escribas;Jesús
20;#org5;#org0;escribas;gente
21;#org5;#org0;escribas;gente
22;#org5;#org0;escribas;gente
23;#org5;#org0;escribas;gente
24;#org5;#org0;escribas;gente
25;#per10;#org10;Herodes;reyes magos
26;#per10;#org26;Herodes;criados de Herodes
27;#per18;#org0;Juan el Bautista;gente
28;#per18;#org2;Juan el Bautista;fariseos
29;#per18;#org7;Juan el Bautista;saduceos
30;#per18;#org2;Juan el Bautista;fariseos
31;#per18;#org7;Juan el Bautista;saduceos
32;#per18;#org2;Juan el Bautista;fariseos
33;#per18;#org7;Juan el Bautista;saduceos
34;#per18;#org2;Juan el Bautista;fariseos
35;#per18;#org7;Juan el Bautista;saduceos
36;#per18;#org2;Juan el Bautista;fariseos
37;#per18;#org7;Juan el Bautista;saduceos
38;#per18;#org2;Juan el Bautista;fariseos
39;#per18;#org7;Juan el Bautista;saduceos
40;#per18;#per1;Juan el Bautista;Jesús
41;#org2;#org3;fariseos;discípulos
42;#org2;#org0;fariseos;gente
43;#org2;#per1;fariseos;Jesús
44;#org2;#per1;fariseos;Jesús
45;#org2;#org0;fariseos;gente
46;#org2;#per1;fariseos;Jesús
47;#org2;#per1;fariseos;Jesús
48;#org2;#org0;fariseos;gente
49;#org2;#org0;fariseos;gente
50;#org2;#per1;fariseos;Jesús
51;#org2;#per1;fariseos;Jesús
52;#org2;#per1;fariseos;Jesús
53;#org2;#per1;fariseos;Jesús
54;#org2;#per1;fariseos;Jesús
55;#org2;#per1;fariseos;Jesús
56;#org2;#per1;fariseos;Jesús
57;#org2;#org0;fariseos;gente
58;#org2;#org0;fariseos;gente
59;#org2;#org0;fariseos;gente
60;#org2;#per50;fariseos;Pilato
61;#org2;#per50;fariseos;Pilato
62;#org7;#org0;saduceos;gente
63;#org7;#org0;saduceos;gente
64;#org7;#per1;saduceos;Jesús
65;#org7;#per1;saduceos;Jesús
66;#org7;#per1;saduceos;Jesús
67;#org7;#per1;saduceos;Jesús
68;#org7;#per1;saduceos;Jesús
69;#per1;#per18;Jesús;Juan el Bautista
70;#per1;#per20;Jesús;diablo
71;#per1;#per20;Jesús;diablo
72;#per1;#per20;Jesús;diablo
73;#per1;#org0;Jesús;gente
74;#per1;#per21;Jesús;Simón Pedro
75;#per1;#per22;Jesús;Andrés
76;#per1;#org3;Jesús;discípulos
77;#per1;#org0;Jesús;gente
78;#per1;#org3;Jesús;discípulos
79;#per1;#org0;Jesús;gente
80;#per1;#org3;Jesús;discípulos
81;#per1;#org0;Jesús;gente
82;#per1;#org3;Jesús;discípulos
83;#per1;#org0;Jesús;gente
84;#per1;#org3;Jesús;discípulos
85;#per1;#org0;Jesús;gente
86;#per1;#org3;Jesús;discípulos
87;#per1;#org0;Jesús;gente
88;#per1;#org3;Jesús;discípulos
89;#per1;#org0;Jesús;gente
90;#per1;#org3;Jesús;discípulos
91;#per1;#org0;Jesús;gente
92;#per1;#org3;Jesús;discípulos
93;#per1;#org0;Jesús;gente
94;#per1;#org3;Jesús;discípulos
95;#per1;#org0;Jesús;gente
96;#per1;#org3;Jesús;discípulos
97;#per1;#org0;Jesús;gente
98;#per1;#org3;Jesús;discípulos
99;#per1;#org0;Jesús;gente
100;#per1;#org3;Jesús;discípulos
101;#per1;#org0;Jesús;gente
102;#per1;#org3;Jesús;discípulos
103;#per1;#org0;Jesús;gente
104;#per1;#org3;Jesús;discípulos
105;#per1;#org0;Jesús;gente
106;#per1;#org3;Jesús;discípulos
107;#per1;#org0;Jesús;gente
108;#per1;#org3;Jesús;discípulos
109;#per1;#org0;Jesús;gente
110;#per1;#org3;Jesús;discípulos
111;#per1;#org0;Jesús;gente
112;#per1;#org3;Jesús;discípulos
113;#per1;#org0;Jesús;gente
114;#per1;#org3;Jesús;discípulos
115;#per1;#org0;Jesús;gente
116;#per1;#org3;Jesús;discípulos
117;#per1;#org0;Jesús;gente
118;#per1;#org3;Jesús;discípulos
119;#per1;#org0;Jesús;gente
120;#per1;#org3;Jesús;discípulos
121;#per1;#org0;Jesús;gente
122;#per1;#org3;Jesús;discípulos
123;#per1;#org0;Jesús;gente
124;#per1;#org3;Jesús;discípulos
125;#per1;#org0;Jesús;gente
126;#per1;#org3;Jesús;discípulos
127;#per1;#org0;Jesús;gente
128;#per1;#org3;Jesús;discípulos
129;#per1;#org0;Jesús;gente
130;#per1;#org3;Jesús;discípulos
131;#per1;#org0;Jesús;gente
132;#per1;#org3;Jesús;discípulos
133;#per1;#org0;Jesús;gente
134;#per1;#org3;Jesús;discípulos
135;#per1;#org0;Jesús;gente
136;#per1;#org3;Jesús;discípulos
137;#per1;#org0;Jesús;gente
138;#per1;#org3;Jesús;discípulos
139;#per1;#org0;Jesús;gente
140;#per1;#org3;Jesús;discípulos
141;#per1;#org0;Jesús;gente
142;#per1;#org3;Jesús;discípulos
143;#per1;#org0;Jesús;gente
144;#per1;#org3;Jesús;discípulos
145;#per1;#org0;Jesús;gente
146;#per1;#org3;Jesús;discípulos
147;#per1;#org0;Jesús;gente
148;#per1;#org3;Jesús;discípulos
149;#per1;#org0;Jesús;gente
150;#per1;#org3;Jesús;discípulos
151;#per1;#org0;Jesús;gente
152;#per1;#org3;Jesús;discípulos
153;#per1;#org0;Jesús;gente
154;#per1;#org3;Jesús;discípulos
155;#per1;#org0;Jesús;gente
156;#per1;#org3;Jesús;discípulos
157;#per1;#org0;Jesús;gente
158;#per1;#org3;Jesús;discípulos
159;#per1;#org0;Jesús;gente
160;#per1;#org3;Jesús;discípulos
161;#per1;#org0;Jesús;gente
162;#per1;#org3;Jesús;discípulos
163;#per1;#org0;Jesús;gente
164;#per1;#org3;Jesús;discípulos
165;#per1;#org0;Jesús;gente
166;#per1;#org3;Jesús;discípulos
167;#per1;#org0;Jesús;gente
168;#per1;#org3;Jesús;discípulos
169;#per1;#org0;Jesús;gente
170;#per1;#org3;Jesús;discípulos
171;#per1;#org0;Jesús;gente
172;#per1;#org3;Jesús;discípulos
173;#per1;#org0;Jesús;gente
174;#per1;#org3;Jesús;discípulos
175;#per1;#org0;Jesús;gente
176;#per1;#org3;Jesús;discípulos
177;#per1;#org0;Jesús;gente
178;#per1;#org3;Jesús;discípulos
179;#per1;#org0;Jesús;gente
180;#per1;#org3;Jesús;discípulos
181;#per1;#org0;Jesús;gente
182;#per1;#org3;Jesús;discípulos
183;#per1;#org0;Jesús;gente
184;#per1;#org3;Jesús;discípulos
185;#per1;#org0;Jesús;gente
