	Source	Target	Via	Weight	Type	book
4	#org12	#org24	oral	4	Directed	JOH
9	#org2	#per18	spoken	4	Directed	JOH
12	#org15	#per1	oral	4	Directed	MAT
98	#org13	#per50	oral	4	Directed	MAT
67	#per1	#per20	oral	4	Directed	MAT
82	#org4	#per12	dream	4	Directed	MAT
73	#per21	#org0	oral	4	Directed	MAT
63	#per1	#org7	oral	4	Directed	MAT
48	#per1	#org5	oral	4	Directed	MAT
49	#per48	#per1	oral	4	Directed	MAT
41	#org12	#org12	oral	4	Directed	MAT
41	#per58	#per1	oral	3	Directed	JOH
111	#org2	#org2	oral	3	Directed	JOH
5	#per1	#org11	oral	3	Directed	JOH
37	#org24	#per1	oral	3	Directed	JOH
64	#org2	#org0	oral	3	Directed	JOH
18	#per34	#org12	oral	3	Directed	MAT
21	#org4	#per58	oral	3	Directed	MAT
59	#per20	#per1	oral	3	Directed	MAT
55	#org5	#per1	oral	3	Directed	MAT
20	#org4	#org150	oral	3	Directed	LUK
91	#per0	#per1	oral	3	Directed	JOH
77	#org5	#org0	soCalled	3	Directed	MAT
64	#org18	#per1	idea	3	Directed	MAT
80	#org0	#per1	oral	3	Directed	MAT
32	#per0	#per21	oral	3	Directed	JOH
30	#per103	#per1	oral	3	Directed	JOH
52	#per0	#per21	oral	3	Directed	MAT
47	#org15	#org0	oral	3	Directed	JOH
27	#per30	#org3	oral	3	Directed	JOH
87	#org2	#per1	oral	3	Directed	JOH
72	#org0	#org13	oral	3	Directed	JOH
60	#per1	#per58	oral	3	Directed	JOH
46	#per57	#per1	oral	2	Directed	MAT
19	#org12	#org0	oral	2	Directed	MAT
1	#org2	#per50	oral	2	Directed	MAT
32	#per1	#per34	oral	2	Directed	MAT
34	#org3	#org0	idea	2	Directed	MAT
39	#org3	#per58	oral	2	Directed	MAT
0	#org12	#org24	oral	2	Directed	MAT
74	#per50	#per1	oral	2	Directed	MAT
97	#org2	#org0	oral	2	Directed	MAT
58	#org5	#per10	oral	2	Directed	MAT
57	#per34	#per1	oral	2	Directed	MAT
43	#per1	#org0	soCalled	2	Directed	MAT
93	#org25	#org25	oral	2	Directed	MAT
86	#org2	#org0	soCalled	2	Directed	MAT
60	#per1	#per57	oral	2	Directed	MAT
66	#per14	#org0	oral	2	Directed	MAT
7	#pla3	#org0	oral	2	Directed	MAT
72	#per14	#org18	idea	2	Directed	MAT
79	#per1	#per41	oral	2	Directed	MAT
8	#org6	#per1	oral	2	Directed	MAT
38	#per1	#per58	oral	2	Directed	MAT
35	#per21	#org3	oral	2	Directed	JOH
45	#per1	#per11	oral	2	Directed	JOH
93	#per21	#org0	oral	2	Directed	JOH
70	#per28	#per53	spoken	2	Directed	JOH
83	#per28	#org3	oral	2	Directed	JOH
73	#per1	#per48	oral	2	Directed	JOH
78	#org5	#per1	oral	2	Directed	JOH
79	#per1	#per30	oral	2	Directed	JOH
80	#org3	#org0	oral	2	Directed	JOH
86	#org12	#per50	oral	2	Directed	JOH
90	#per1	#per25	oral	2	Directed	JOH
97	#org0	#org15	oral	2	Directed	JOH
38	#per53	#per1	spoken	2	Directed	JOH
114	#org3	#per1	spoken	2	Directed	JOH
61	#org12	#org12	oral	2	Directed	JOH
58	#per48	#org12	oral	2	Directed	JOH
20	#org11	#per1	oral	2	Directed	JOH
16	#per963	#per11	oral	2	Directed	LUK
10	#per11	#per961	oral	2	Directed	LUK
8	#per961	#per961	oral	2	Directed	LUK
19	#per1	#org24	oral	2	Directed	JOH
99	#per19	#org0	written	2	Directed	JOH
10	#org27	#per18	oral	1	Directed	JOH
95	#per1	#per107	oral	1	Directed	JOH
57	#per1	#org3	written	1	Directed	JOH
53	#org3	#per21	oral	1	Directed	JOH
65	#per53	#per28	spoken	1	Directed	JOH
66	#per11	#per1	oral	1	Directed	JOH
51	#per108	#per107	oral	1	Directed	JOH
68	#per25	#per21	oral	1	Directed	JOH
69	#per1	#org5	oral	1	Directed	JOH
49	#per30	#org28	oral	1	Directed	JOH
71	#per1	#per28	spoken	1	Directed	JOH
46	#org24	#org12	oral	1	Directed	JOH
44	#org13	#per18	spoken	1	Directed	JOH
43	#org13	#org0	idea	1	Directed	JOH
42	#per22	#per1	oral	1	Directed	JOH
40	#per107	#per1	oral	1	Directed	JOH
34	#per1	#org27	spoken	1	Directed	JOH
81	#per58	#org3	idea	1	Directed	JOH
31	#per103	#org12	oral	1	Directed	JOH
29	#org15	#org2	oral	1	Directed	JOH
84	#per25	#per1	oral	1	Directed	JOH
85	#per22	#per21	spoken	1	Directed	JOH
28	#per58	#per21	oral	1	Directed	JOH
26	#org13	#per1	soCalled	1	Directed	JOH
63	#per1	#org0	soCalled	1	Directed	JOH
1	#per28	#per1	oral	1	Directed	JOH
96	#per50	#org3	oral	1	Directed	JOH
25	#per11	#org0	oral	1	Directed	JOH
18	#org3	#per1	soCalled	1	Directed	JOH
17	#per58	#org4	oral	1	Directed	JOH
16	#org12	#per103	oral	1	Directed	JOH
100	#org3	#per30	oral	1	Directed	JOH
14	#per1	#per28	oral	1	Directed	JOH
103	#org0	#per28	oral	1	Directed	JOH
24	#org2	#org15	oral	1	Directed	JOH
11	#org0	#per1	oral	1	Directed	JOH
105	#org24	#org24	oral	1	Directed	JOH
106	#per1	#per106	oral	1	Directed	JOH
107	#per1	#org21	oral	1	Directed	JOH
108	#per18	#org0	oral	1	Directed	JOH
12	#per14	#per18	unknown	1	Directed	JOH
110	#per1	#per14	soCalled	1	Directed	JOH
8	#per21	#per2	oral	1	Directed	JOH
7	#org4	#per58	oral	1	Directed	JOH
113	#per1	#per21	spoken	1	Directed	JOH
3	#per1	#org3	spoken	1	Directed	JOH
2	#per30	#per1	oral	1	Directed	JOH
22	#per34	#org3	oral	1	Directed	JOH
88	#per14	#org0	oral	1	Directed	JOH
21	#per50	#org0	written	1	Directed	JOH
2	#org0	#org0	oral	1	Directed	LUK
59	#per110	#org3	oral	1	Directed	JOH
5	#per1	#per1	oral	1	Directed	MAT
17	#per3	#per1	oral	1	Directed	MAT
40	#per10	#org26	oral	1	Directed	MAT
76	#per25	#per10	oral	1	Directed	MAT
9	#org4	#org0	idea	1	Directed	MAT
88	#per1	#org12	idea	1	Directed	MAT
96	#per1	#per50	oral	1	Directed	MAT
2	#per1	#per27	oral	1	Directed	MAT
4	#org2	#org3	oral	1	Directed	MAT
29	#org24	#org0	oral	1	Directed	MAT
92	#org5	#org5	oral	1	Directed	MAT
90	#per18	#org0	oral	1	Directed	MAT
0	#org4	#per14	song	1	Directed	LUK
89	#per41	#per1	oral	1	Directed	MAT
87	#org27	#per1	oral	1	Directed	MAT
51	#per18	#per1	oral	1	Directed	MAT
85	#org0	#org12	oral	1	Directed	MAT
84	#org1	#per1	oral	1	Directed	MAT
83	#per10	#org10	oral	1	Directed	MAT
6	#org25	#org15	oral	1	Directed	MAT
35	#per50	#org2	oral	1	Directed	MAT
36	#org0	#per21	oral	1	Directed	MAT
37	#per57	#per0	oral	1	Directed	MAT
56	#org3	#org0	oral	1	Directed	MAT
20	#org24	#per1	oral	1	Directed	MAT
47	#per23	#per1	oral	1	Directed	MAT
22	#per38	#per10	oral	1	Directed	MAT
4	#per960	#org0	written	1	Directed	LUK
17	#per960	#per961	oral	1	Directed	LUK
5	#per1	#per11	oral	1	Directed	LUK
15	#per11	#per1	oral	1	Directed	LUK
7	#org150	#org150	oral	1	Directed	LUK
12	#org220	#per959	oral	1	Directed	LUK
9	#per959	#org220	oral	1	Directed	LUK
1	#per960	#per960	oral	1	Directed	LUK
30	#org19	#per1	idea	1	Directed	MAT
10	#per1	#org19	idea	1	Directed	MAT
27	#per1	#org6	oral	1	Directed	MAT
11	#per0	#org0	idea	1	Directed	MAT
23	#per1	#per23	oral	1	Directed	MAT
13	#org8	#pla1	written	1	Directed	MAT
68	#org3	#org3	oral	1	Directed	MAT
14	#per1	#per18	oral	1	Directed	MAT
15	#per1	#per48	oral	1	Directed	MAT
31	#per52	#per50	oral	1	Directed	MAT
16	#org10	#per10	oral	1	Directed	MAT
62	#org1	#per48	oral	1	Directed	MAT
61	#org12	#per34	oral	1	Directed	MAT
0	#per0	#org2	oral	1	Directed	JOH
